data_date,url,clicks,impressions,avg_position
2025-06-10,/locations/helsinki,11,196,4.0
2025-06-10,/locations/oslo,10,167,4.4
2025-06-10,/pricing,7,120,4.8
2025-06-10,/membership,6,96,5.2
2025-06-10,/blog,5,74,5.6
2025-06-11,/,11,263,2.0
2025-06-11,/booking,10,237,2.4
2025-06-11,/about,10,213,2.8
2025-06-11,/contact,11,227,3.2
2025-06-11,/locations/stockholm,11,202,3.6
2025-06-11,/locations/helsinki,8,153,4.0
2025-06-11,/locations/oslo,8,135,4.4
2025-06-11,/pricing,8,134,4.8
2025-06-11,/membership,6,101,5.2
2025-06-11,/blog,5,81,5.6
2025-06-12,/,11,273,2.0
2025-06-12,/booking,12,281,2.4
2025-06-12,/about,11,230,2.8
2025-06-12,/contact,13,256,3.2
2025-06-12,/locations/stockholm,12,225,3.6
2025-06-12,/locations/helsinki,9,166,4.0
2025-06-12,/locations/oslo,8,134,4.4
2025-06-12,/pricing,7,112,4.8
2025-06-12,/membership,6,90,5.2
2025-06-12,/blog,5,78,5.6
2025-06-13,/,11,271,2.0
2025-06-13,/booking,11,249,2.4
2025-06-13,/about,11,243,2.8
2025-06-13,/contact,12,245,3.2
2025-06-13,/locations/stockholm,9,178,3.6
2025-06-13,/locations/helsinki,9,157,4.0
2025-06-13,/locations/oslo,8,131,4.4
2025-06-13,/pricing,7,109,4.8
2025-06-13,/membership,6,90,5.2
2025-06-13,/blog,5,82,5.6
2025-06-14,/,14,344,2.0
2025-06-14,/booking,11,251,2.4
2025-06-14,/about,10,226,2.8
2025-06-14,/contact,10,202,3.2
2025-06-14,/locations/stockholm,9,173,3.6
2025-06-14,/locations/helsinki,11,193,4.0
2025-06-14,/locations/oslo,9,150,4.4
2025-06-14,/pricing,7,119,4.8
2025-06-14,/membership,6,91,5.2
2025-06-14,/blog,5,68,5.6
2025-06-15,/,11,265,2.0
2025-06-15,/booking,12,289,2.4
2025-06-15,/about,12,262,2.8
2025-06-15,/contact,10,200,3.2
2025-06-15,/locations/stockholm,10,183,3.6
2025-06-15,/locations/helsinki,11,192,4.0
2025-06-15,/locations/oslo,9,152,4.4
2025-06-15,/pricing,7,113,4.8
2025-06-15,/membership,7,105,5.2
2025-06-15,/blog,6,83,5.6
2025-06-16,/,11,285,2.0
2025-06-16,/booking,13,297,2.4
2025-06-16,/about,13,276,2.8
2025-06-16,/contact,11,215,3.2
2025-06-16,/locations/stockholm,12,225,3.6
2025-06-16,/locations/helsinki,9,170,4.0
2025-06-16,/locations/oslo,8,132,4.4
2025-06-16,/pricing,8,135,4.8
2025-06-16,/membership,6,90,5.2
2025-06-16,/blog,5,68,5.6
2025-06-17,/,13,314,2.0
2025-06-17,/booking,12,276,2.4
2025-06-17,/about,10,218,2.8
2025-06-17,/contact,12,245,3.2
2025-06-17,/locations/stockholm,9,171,3.6
2025-06-17,/locations/helsinki,9,159,4.0
2025-06-17,/locations/oslo,9,156,4.4
2025-06-17,/pricing,8,135,4.8
2025-06-17,/membership,6,99,5.2
2025-06-17,/blog,5,74,5.6
2025-06-18,/,14,340,2.0
2025-06-18,/booking,11,259,2.4
2025-06-18,/about,12,254,2.8
2025-06-18,/contact,12,235,3.2
2025-06-18,/locations/stockholm,12,226,3.6
2025-06-18,/locations/helsinki,10,189,4.0
2025-06-18,/locations/oslo,8,133,4.4
2025-06-18,/pricing,8,135,4.8
2025-06-18,/membership,7,104,5.2
2025-06-18,/blog,5,81,5.6
2025-06-19,/,11,264,2.0
2025-06-19,/booking,13,310,2.4
2025-06-19,/about,13,272,2.8
2025-06-19,/contact,12,248,3.2
2025-06-19,/locations/stockholm,12,223,3.6
2025-06-19,/locations/helsinki,8,154,4.0
2025-06-19,/locations/oslo,9,163,4.4
2025-06-19,/pricing,8,133,4.8
2025-06-19,/membership,7,105,5.2
2025-06-19,/blog,5,72,5.6
2025-06-20,/,11,279,2.0
2025-06-20,/booking,12,284,2.4
2025-06-20,/about,11,234,2.8
2025-06-20,/contact,12,253,3.2
2025-06-20,/locations/stockholm,11,207,3.6
2025-06-20,/locations/helsinki,9,168,4.0
2025-06-20,/locations/oslo,7,128,4.4
2025-06-20,/pricing,7,112,4.8
2025-06-20,/membership,6,94,5.2
2025-06-20,/blog,4,67,5.6
2025-06-21,/,12,304,2.0
2025-06-21,/booking,13,293,2.4
2025-06-21,/about,13,279,2.8
2025-06-21,/contact,12,235,3.2
2025-06-21,/locations/stockholm,11,205,3.6
2025-06-21,/locations/helsinki,9,161,4.0
2025-06-21,/locations/oslo,10,167,4.4
2025-06-21,/pricing,7,118,4.8
2025-06-21,/membership,7,106,5.2
2025-06-21,/blog,5,81,5.6
2025-06-22,/,10,259,2.0
2025-06-22,/booking,12,287,2.4
2025-06-22,/about,13,282,2.8
2025-06-22,/contact,12,238,3.2
2025-06-22,/locations/stockholm,10,199,3.6
2025-06-22,/locations/helsinki,9,170,4.0
2025-06-22,/locations/oslo,8,134,4.4
2025-06-22,/pricing,7,115,4.8
2025-06-22,/membership,7,112,5.2
2025-06-22,/blog,5,73,5.6
2025-06-23,/,11,270,2.0
2025-06-23,/booking,11,267,2.4
2025-06-23,/about,11,245,2.8
2025-06-23,/contact,10,214,3.2
2025-06-23,/locations/stockholm,9,171,3.6
2025-06-23,/locations/helsinki,9,168,4.0
2025-06-23,/locations/oslo,10,168,4.4
2025-06-23,/pricing,7,117,4.8
2025-06-23,/membership,6,96,5.2
2025-06-23,/blog,5,80,5.6
2025-06-24,/,11,269,2.0
2025-06-24,/booking,13,303,2.4
2025-06-24,/about,12,253,2.8
2025-06-24,/contact,11,227,3.2
2025-06-24,/locations/stockholm,9,178,3.6
2025-06-24,/locations/helsinki,8,152,4.0
2025-06-24,/locations/oslo,10,166,4.4
2025-06-24,/pricing,7,115,4.8
2025-06-24,/membership,6,98,5.2
2025-06-24,/blog,5,75,5.6
2025-06-25,/,10,257,2.0
2025-06-25,/booking,13,292,2.4
2025-06-25,/about,12,253,2.8
2025-06-25,/contact,12,253,3.2
2025-06-25,/locations/stockholm,9,178,3.6
2025-06-25,/locations/helsinki,9,158,4.0
2025-06-25,/locations/oslo,8,139,4.4
2025-06-25,/pricing,7,118,4.8
2025-06-25,/membership,7,113,5.2
2025-06-25,/blog,5,77,5.6
2025-06-26,/,11,279,2.0
2025-06-26,/booking,11,251,2.4
2025-06-26,/about,12,252,2.8
2025-06-26,/contact,10,205,3.2
2025-06-26,/locations/stockholm,9,175,3.6
2025-06-26,/locations/helsinki,10,182,4.0
2025-06-26,/locations/oslo,9,158,4.4
2025-06-26,/pricing,7,109,4.8
2025-06-26,/membership,6,100,5.2
2025-06-26,/blog,5,77,5.6
2025-06-27,/,12,312,2.0
2025-06-27,/booking,10,234,2.4
2025-06-27,/about,13,272,2.8
2025-06-27,/contact,11,227,3.2
2025-06-27,/locations/stockholm,10,195,3.6
2025-06-27,/locations/helsinki,9,172,4.0
2025-06-27,/locations/oslo,9,148,4.4
2025-06-27,/pricing,8,138,4.8
2025-06-27,/membership,7,106,5.2
2025-06-27,/blog,5,70,5.6
2025-06-28,/,10,256,2.0
2025-06-28,/booking,11,265,2.4
2025-06-28,/about,10,227,2.8
2025-06-28,/contact,11,232,3.2
2025-06-28,/locations/stockholm,11,208,3.6
2025-06-28,/locations/helsinki,9,166,4.0
2025-06-28,/locations/oslo,10,166,4.4
2025-06-28,/pricing,9,143,4.8
2025-06-28,/membership,6,99,5.2
2025-06-28,/blog,5,74,5.6
2025-06-29,/,10,262,2.0
2025-06-29,/booking,13,306,2.4
2025-06-29,/about,10,223,2.8
2025-06-29,/contact,11,234,3.2
2025-06-29,/locations/stockholm,11,209,3.6
2025-06-29,/locations/helsinki,9,167,4.0
2025-06-29,/locations/oslo,8,132,4.4
2025-06-29,/pricing,8,131,4.8
2025-06-29,/membership,6,95,5.2
2025-06-29,/blog,4,67,5.6
2025-06-30,/,13,337,2.0
2025-06-30,/booking,12,274,2.4
2025-06-30,/about,12,265,2.8
2025-06-30,/contact,10,212,3.2
2025-06-30,/locations/stockholm,9,179,3.6
2025-06-30,/locations/helsinki,8,151,4.0
2025-06-30,/locations/oslo,8,143,4.4
2025-06-30,/pricing,7,108,4.8
2025-06-30,/membership,7,115,5.2
2025-06-30,/blog,5,69,5.6
2025-07-01,/,11,266,2.0
2025-07-01,/booking,13,302,2.4
2025-07-01,/about,13,272,2.8
2025-07-01,/contact,13,259,3.2
2025-07-01,/locations/stockholm,10,185,3.6
2025-07-01,/locations/helsinki,8,151,4.0
2025-07-01,/locations/oslo,9,160,4.4
2025-07-01,/pricing,8,137,4.8
2025-07-01,/membership,6,96,5.2
2025-07-01,/blog,6,85,5.6
2025-07-02,/,13,324,2.0
2025-07-02,/booking,12,268,2.4
2025-07-02,/about,12,266,2.8
2025-07-02,/contact,9,191,3.2
2025-07-02,/locations/stockholm,10,190,3.6
2025-07-02,/locations/helsinki,9,158,4.0
2025-07-02,/locations/oslo,8,141,4.4
2025-07-02,/pricing,7,114,4.8
2025-07-02,/membership,7,106,5.2
2025-07-02,/blog,5,82,5.6
2025-07-03,/,11,271,2.0
2025-07-03,/booking,12,268,2.4
2025-07-03,/about,12,257,2.8
2025-07-03,/contact,10,201,3.2
2025-07-03,/locations/stockholm,10,192,3.6
2025-07-03,/locations/helsinki,9,159,4.0
2025-07-03,/locations/oslo,9,153,4.4
2025-07-03,/pricing,9,140,4.8
2025-07-03,/membership,6,99,5.2
2025-07-03,/blog,5,79,5.6
2025-07-04,/,13,320,2.0
2025-07-04,/booking,14,315,2.4
2025-07-04,/about,12,260,2.8
2025-07-04,/contact,10,204,3.2
2025-07-04,/locations/stockholm,9,171,3.6
2025-07-04,/locations/helsinki,9,156,4.0
2025-07-04,/locations/oslo,8,133,4.4
2025-07-04,/pricing,8,126,4.8
2025-07-04,/membership,6,98,5.2
2025-07-04,/blog,5,78,5.6
2025-07-05,/,10,262,2.0
2025-07-05,/booking,13,301,2.4
2025-07-05,/about,10,221,2.8
2025-07-05,/contact,12,237,3.2
2025-07-05,/locations/stockholm,11,212,3.6
2025-07-05,/locations/helsinki,10,179,4.0
2025-07-05,/locations/oslo,8,135,4.4
2025-07-05,/pricing,8,129,4.8
2025-07-05,/membership,7,113,5.2
2025-07-05,/blog,5,82,5.6
2025-07-06,/,11,267,2.0
2025-07-06,/booking,11,261,2.4
2025-07-06,/about,13,272,2.8
2025-07-06,/contact,10,205,3.2
2025-07-06,/locations/stockholm,11,213,3.6
2025-07-06,/locations/helsinki,11,197,4.0
2025-07-06,/locations/oslo,8,140,4.4
2025-07-06,/pricing,7,110,4.8
2025-07-06,/membership,6,99,5.2
2025-07-06,/blog,5,71,5.6
2025-07-07,/,12,301,2.0
2025-07-07,/booking,11,259,2.4
2025-07-07,/about,12,250,2.8
2025-07-07,/contact,10,202,3.2
2025-07-07,/locations/stockholm,9,180,3.6
2025-07-07,/locations/helsinki,9,169,4.0
2025-07-07,/locations/oslo,8,132,4.4
2025-07-07,/pricing,9,143,4.8
2025-07-07,/membership,6,95,5.2
2025-07-07,/blog,5,68,5.6
2025-07-08,/,13,318,2.0
2025-07-08,/booking,12,268,2.4
2025-07-08,/about,13,284,2.8
2025-07-08,/contact,10,195,3.2
2025-07-08,/locations/stockholm,10,199,3.6
2025-07-08,/locations/helsinki,9,161,4.0
2025-07-08,/locations/oslo,9,159,4.4
2025-07-08,/pricing,8,127,4.8
2025-07-08,/membership,6,92,5.2
2025-07-08,/blog,5,76,5.6
2025-07-09,/,13,325,2.0
2025-07-09,/booking,14,314,2.4
2025-07-09,/about,11,230,2.8
2025-07-09,/contact,10,195,3.2
2025-07-09,/locations/stockholm,11,204,3.6
2025-07-09,/locations/helsinki,9,165,4.0
2025-07-09,/locations/oslo,9,161,4.4
2025-07-09,/pricing,8,135,4.8
2025-07-09,/membership,6,91,5.2
2025-07-09,/blog,5,74,5.6
2025-07-10,/,10,257,2.0
2025-07-10,/booking,13,294,2.4
2025-07-10,/about,12,254,2.8
2025-07-10,/contact,13,257,3.2
2025-07-10,/locations/stockholm,10,190,3.6
2025-07-10,/locations/helsinki,10,183,4.0
2025-07-10,/locations/oslo,9,153,4.4
2025-07-10,/pricing,8,127,4.8
2025-07-10,/membership,6,98,5.2
2025-07-10,/blog,5,72,5.6
2025-07-11,/,11,276,2.0
2025-07-11,/booking,13,291,2.4
2025-07-11,/about,12,265,2.8
2025-07-11,/contact,12,236,3.2
2025-07-11,/locations/stockholm,12,229,3.6
2025-07-11,/locations/helsinki,9,166,4.0
2025-07-11,/locations/oslo,8,135,4.4
2025-07-11,/pricing,7,108,4.8
2025-07-11,/membership,6,89,5.2
2025-07-11,/blog,5,70,5.6
2025-07-12,/,10,260,2.0
2025-07-12,/booking,13,312,2.4
2025-07-12,/about,11,237,2.8
2025-07-12,/contact,12,254,3.2
2025-07-12,/locations/stockholm,10,193,3.6
2025-07-12,/locations/helsinki,10,177,4.0
2025-07-12,/locations/oslo,9,154,4.4
2025-07-12,/pricing,7,121,4.8
2025-07-12,/membership,6,96,5.2
2025-07-12,/blog,5,79,5.6
2025-07-13,/,13,336,2.0
2025-07-13,/booking,13,295,2.4
2025-07-13,/about,11,246,2.8
2025-07-13,/contact,12,244,3.2
2025-07-13,/locations/stockholm,11,208,3.6
2025-07-13,/locations/helsinki,10,176,4.0
2025-07-13,/locations/oslo,10,167,4.4
2025-07-13,/pricing,8,125,4.8
2025-07-13,/membership,6,98,5.2
2025-07-13,/blog,5,79,5.6
2025-07-14,/,12,294,2.0
2025-07-14,/booking,11,257,2.4
2025-07-14,/about,12,251,2.8
2025-07-14,/contact,12,255,3.2
2025-07-14,/locations/stockholm,10,200,3.6
2025-07-14,/locations/helsinki,11,201,4.0
2025-07-14,/locations/oslo,10,164,4.4
2025-07-14,/pricing,8,124,4.8
2025-07-14,/membership,6,95,5.2
2025-07-14,/blog,5,78,5.6
2025-07-15,/,14,341,2.0
2025-07-15,/booking,12,268,2.4
2025-07-15,/about,11,229,2.8
2025-07-15,/contact,10,200,3.2
2025-07-15,/locations/stockholm,10,201,3.6
2025-07-15,/locations/helsinki,9,172,4.0
2025-07-15,/locations/oslo,9,151,4.4
2025-07-15,/pricing,8,124,4.8
2025-07-15,/membership,7,102,5.2
2025-07-15,/blog,5,71,5.6
2025-07-16,/,12,298,2.0
2025-07-16,/booking,12,269,2.4
2025-07-16,/about,12,252,2.8
2025-07-16,/contact,11,222,3.2
2025-07-16,/locations/stockholm,11,209,3.6
2025-07-16,/locations/helsinki,10,186,4.0
2025-07-16,/locations/oslo,8,146,4.4
2025-07-16,/pricing,8,134,4.8
2025-07-16,/membership,7,112,5.2
2025-07-16,/blog,5,81,5.6
2025-07-17,/,13,325,2.0
2025-07-17,/booking,13,294,2.4
2025-07-17,/about,11,242,2.8
2025-07-17,/contact,13,256,3.2
2025-07-17,/locations/stockholm,9,182,3.6
2025-07-17,/locations/helsinki,9,164,4.0
2025-07-17,/locations/oslo,8,137,4.4
2025-07-17,/pricing,8,124,4.8
2025-07-17,/membership,7,107,5.2
2025-07-17,/blog,5,70,5.6
2025-07-18,/,14,341,2.0
2025-07-18,/booking,12,288,2.4
2025-07-18,/about,13,283,2.8
2025-07-18,/contact,11,232,3.2
2025-07-18,/locations/stockholm,11,205,3.6
2025-07-18,/locations/helsinki,11,199,4.0
2025-07-18,/locations/oslo,10,170,4.4
2025-07-18,/pricing,8,132,4.8
2025-07-18,/membership,6,88,5.2
2025-07-18,/blog,4,66,5.6
2025-07-19,/,10,258,2.0
2025-07-19,/booking,11,246,2.4
2025-07-19,/about,12,254,2.8
2025-07-19,/contact,11,221,3.2
2025-07-19,/locations/stockholm,11,212,3.6
2025-07-19,/locations/helsinki,11,196,4.0
2025-07-19,/locations/oslo,8,144,4.4
2025-07-19,/pricing,8,139,4.8
2025-07-19,/membership,7,112,5.2
2025-07-19,/blog,5,79,5.6
2025-07-20,/,13,330,2.0
2025-07-20,/booking,13,310,2.4
2025-07-20,/about,11,247,2.8
2025-07-20,/contact,11,225,3.2
2025-07-20,/locations/stockholm,10,201,3.6
2025-07-20,/locations/helsinki,10,173,4.0
2025-07-20,/locations/oslo,10,170,4.4
2025-07-20,/pricing,7,110,4.8
2025-07-20,/membership,6,96,5.2
2025-07-20,/blog,6,84,5.6
2025-07-21,/,13,325,2.0
2025-07-21,/booking,11,258,2.4
2025-07-21,/about,12,262,2.8
2025-07-21,/contact,9,191,3.2
2025-07-21,/locations/stockholm,11,202,3.6
2025-07-21,/locations/helsinki,11,197,4.0
2025-07-21,/locations/oslo,9,155,4.4
2025-07-21,/pricing,9,140,4.8
2025-07-21,/membership,6,87,5.2
2025-07-21,/blog,5,76,5.6
2025-07-22,/,13,317,2.0
2025-07-22,/booking,10,236,2.4
2025-07-22,/about,13,277,2.8
2025-07-22,/contact,10,209,3.2
2025-07-22,/locations/stockholm,12,222,3.6
2025-07-22,/locations/helsinki,9,163,4.0
2025-07-22,/locations/oslo,10,172,4.4
2025-07-22,/pricing,9,140,4.8
2025-07-22,/membership,7,111,5.2
2025-07-22,/blog,5,79,5.6
2025-07-23,/,12,291,2.0
2025-07-23,/booking,12,272,2.4
2025-07-23,/about,12,257,2.8
2025-07-23,/contact,10,209,3.2
2025-07-23,/locations/stockholm,10,185,3.6
2025-07-23,/locations/helsinki,10,174,4.0
2025-07-23,/locations/oslo,9,151,4.4
2025-07-23,/pricing,8,136,4.8
2025-07-23,/membership,7,107,5.2
2025-07-23,/blog,5,78,5.6
2025-07-24,/,13,314,2.0
2025-07-24,/booking,13,306,2.4
2025-07-24,/about,10,217,2.8
2025-07-24,/contact,11,230,3.2
2025-07-24,/locations/stockholm,9,174,3.6
2025-07-24,/locations/helsinki,9,155,4.0
2025-07-24,/locations/oslo,9,149,4.4
2025-07-24,/pricing,7,121,4.8
2025-07-24,/membership,7,107,5.2
2025-07-24,/blog,5,82,5.6
2025-07-25,/,13,326,2.0
2025-07-25,/booking,12,282,2.4
2025-07-25,/about,10,213,2.8
2025-07-25,/contact,9,193,3.2
2025-07-25,/locations/stockholm,9,181,3.6
2025-07-25,/locations/helsinki,9,163,4.0
2025-07-25,/locations/oslo,9,148,4.4
2025-07-25,/pricing,7,121,4.8
2025-07-25,/membership,6,90,5.2
2025-07-25,/blog,4,66,5.6
2025-07-26,/,10,257,2.0
2025-07-26,/booking,10,239,2.4
2025-07-26,/about,10,213,2.8
2025-07-26,/contact,9,193,3.2
2025-07-26,/locations/stockholm,10,197,3.6
2025-07-26,/locations/helsinki,10,184,4.0
2025-07-26,/locations/oslo,8,146,4.4
2025-07-26,/pricing,7,116,4.8
2025-07-26,/membership,7,103,5.2
2025-07-26,/blog,5,78,5.6
2025-07-27,/,13,319,2.0
2025-07-27,/booking,11,257,2.4
2025-07-27,/about,13,284,2.8
2025-07-27,/contact,10,203,3.2
2025-07-27,/locations/stockholm,12,228,3.6
2025-07-27,/locations/helsinki,10,182,4.0
2025-07-27,/locations/oslo,8,140,4.4
2025-07-27,/pricing,7,114,4.8
2025-07-27,/membership,6,92,5.2
2025-07-27,/blog,5,78,5.6
2025-07-28,/,14,341,2.0
2025-07-28,/booking,13,305,2.4
2025-07-28,/about,13,286,2.8
2025-07-28,/contact,10,213,3.2
2025-07-28,/locations/stockholm,10,193,3.6
2025-07-28,/locations/helsinki,10,188,4.0
2025-07-28,/locations/oslo,8,139,4.4
2025-07-28,/pricing,7,119,4.8
2025-07-28,/membership,6,94,5.2
2025-07-28,/blog,5,73,5.6
2025-07-29,/,13,324,2.0
2025-07-29,/booking,10,234,2.4
2025-07-29,/about,10,214,2.8
2025-07-29,/contact,9,191,3.2
2025-07-29,/locations/stockholm,11,208,3.6
2025-07-29,/locations/helsinki,9,168,4.0
2025-07-29,/locations/oslo,9,149,4.4
2025-07-29,/pricing,8,124,4.8
2025-07-29,/membership,6,91,5.2
2025-07-29,/blog,5,82,5.6
2025-07-30,/,11,272,2.0
2025-07-30,/booking,12,290,2.4
2025-07-30,/about,12,268,2.8
2025-07-30,/contact,10,208,3.2
2025-07-30,/locations/stockholm,11,213,3.6
2025-07-30,/locations/helsinki,9,160,4.0
2025-07-30,/locations/oslo,9,151,4.4
2025-07-30,/pricing,8,133,4.8
2025-07-30,/membership,6,89,5.2
2025-07-30,/blog,5,79,5.6
2025-07-31,/,11,267,2.0
2025-07-31,/booking,10,240,2.4
2025-07-31,/about,11,239,2.8
2025-07-31,/contact,10,206,3.2
2025-07-31,/locations/stockholm,9,179,3.6
2025-07-31,/locations/helsinki,9,162,4.0
2025-07-31,/locations/oslo,9,162,4.4
2025-07-31,/pricing,8,139,4.8
2025-07-31,/membership,7,113,5.2
2025-07-31,/blog,6,85,5.6
2025-08-01,/,12,312,2.0
2025-08-01,/booking,13,291,2.4
2025-08-01,/about,11,235,2.8
2025-08-01,/contact,12,252,3.2
2025-08-01,/locations/stockholm,10,191,3.6
2025-08-01,/locations/helsinki,10,187,4.0
2025-08-01,/locations/oslo,9,163,4.4
2025-08-01,/pricing,9,143,4.8
2025-08-01,/membership,6,86,5.2
2025-08-01,/blog,5,69,5.6
2025-08-02,/,12,297,2.0
2025-08-02,/booking,13,300,2.4
2025-08-02,/about,12,267,2.8
2025-08-02,/contact,10,196,3.2
2025-08-02,/locations/stockholm,11,221,3.6
2025-08-02,/locations/helsinki,9,170,4.0
2025-08-02,/locations/oslo,10,166,4.4
2025-08-02,/pricing,8,139,4.8
2025-08-02,/membership,7,113,5.2
2025-08-02,/blog,5,81,5.6
2025-08-03,/,13,323,2.0
