data_date,query,clicks,impressions,avg_position,ctr
2025-06-01,outdoor sauna booking,9,127,3.5,0.0709
2025-06-01,wood-fired sauna,10,136,4.0,0.0735
2025-06-01,sauna voucher,9,113,4.5,0.0796
2025-06-01,sauna gift card,9,108,5.0,0.0833
2025-06-01,sauna day pass,8,86,5.5,0.093
2025-06-01,popup sauna,6,67,6.0,0.0896
2025-06-02,sauna near me,10,207,1.5,0.0483
2025-06-02,northern sauna stockholm,10,176,2.0,0.0568
2025-06-02,northern sauna helsinki,10,167,2.5,0.0599
2025-06-02,northern sauna oslo,11,163,3.0,0.0675
2025-06-02,outdoor sauna booking,10,141,3.5,0.0709
2025-06-02,wood-fired sauna,11,142,4.0,0.0775
2025-06-02,sauna voucher,9,112,4.5,0.0804
2025-06-02,sauna gift card,7,81,5.0,0.0864
2025-06-02,sauna day pass,6,71,5.5,0.0845
2025-06-02,popup sauna,5,56,6.0,0.0893
2025-06-03,sauna near me,11,224,1.5,0.0491
2025-06-03,northern sauna stockholm,10,175,2.0,0.0571
2025-06-03,northern sauna helsinki,11,187,2.5,0.0588
2025-06-03,northern sauna oslo,10,152,3.0,0.0658
2025-06-03,outdoor sauna booking,11,158,3.5,0.0696
2025-06-03,wood-fired sauna,9,124,4.0,0.0726
2025-06-03,sauna voucher,10,122,4.5,0.082
2025-06-03,sauna gift card,8,100,5.0,0.08
2025-06-03,sauna day pass,7,74,5.5,0.0946
2025-06-03,popup sauna,6,66,6.0,0.0909
2025-06-04,sauna near me,9,186,1.5,0.0484
2025-06-04,northern sauna stockholm,9,168,2.0,0.0536
2025-06-04,northern sauna helsinki,10,161,2.5,0.0621
2025-06-04,northern sauna oslo,9,146,3.0,0.0616
2025-06-04,outdoor sauna booking,10,140,3.5,0.0714
2025-06-04,wood-fired sauna,10,130,4.0,0.0769
2025-06-04,sauna voucher,10,125,4.5,0.08
2025-06-04,sauna gift card,8,94,5.0,0.0851
2025-06-04,sauna day pass,8,86,5.5,0.093
2025-06-04,popup sauna,6,65,6.0,0.0923
2025-06-05,sauna near me,10,196,1.5,0.051
2025-06-05,northern sauna stockholm,10,180,2.0,0.0556
2025-06-05,northern sauna helsinki,11,189,2.5,0.0582
2025-06-05,northern sauna oslo,9,139,3.0,0.0647
2025-06-05,outdoor sauna booking,9,131,3.5,0.0687
2025-06-05,wood-fired sauna,10,133,4.0,0.0752
2025-06-05,sauna voucher,8,103,4.5,0.0777
2025-06-05,sauna gift card,7,81,5.0,0.0864
2025-06-05,sauna day pass,7,73,5.5,0.0959
2025-06-05,popup sauna,5,56,6.0,0.0893
2025-06-06,sauna near me,9,188,1.5,0.0479
2025-06-06,northern sauna stockholm,10,175,2.0,0.0571
2025-06-06,northern sauna helsinki,12,193,2.5,0.0622
2025-06-06,northern sauna oslo,11,169,3.0,0.0651
2025-06-06,outdoor sauna booking,9,124,3.5,0.0726
2025-06-06,wood-fired sauna,8,111,4.0,0.0721
2025-06-06,sauna voucher,10,126,4.5,0.0794
2025-06-06,sauna gift card,8,100,5.0,0.08
2025-06-06,sauna day pass,7,83,5.5,0.0843
2025-06-06,popup sauna,6,67,6.0,0.0896
2025-06-07,sauna near me,9,179,1.5,0.0503
2025-06-07,northern sauna stockholm,9,172,2.0,0.0523
2025-06-07,northern sauna helsinki,10,167,2.5,0.0599
2025-06-07,northern sauna oslo,10,153,3.0,0.0654
2025-06-07,outdoor sauna booking,11,160,3.5,0.0688
2025-06-07,wood-fired sauna,8,108,4.0,0.0741
2025-06-07,sauna voucher,8,94,4.5,0.0851
2025-06-07,sauna gift card,9,107,5.0,0.0841
2025-06-07,sauna day pass,8,89,5.5,0.0899
2025-06-07,popup sauna,6,61,6.0,0.0984
2025-06-08,sauna near me,9,189,1.5,0.0476
2025-06-08,northern sauna stockholm,10,190,2.0,0.0526
2025-06-08,northern sauna helsinki,9,155,2.5,0.0581
2025-06-08,northern sauna oslo,11,172,3.0,0.064
2025-06-08,outdoor sauna booking,9,130,3.5,0.0692
2025-06-08,wood-fired sauna,8,108,4.0,0.0741
2025-06-08,sauna voucher,9,111,4.5,0.0811
2025-06-08,sauna gift card,9,102,5.0,0.0882
2025-06-08,sauna day pass,8,91,5.5,0.0879
2025-06-08,popup sauna,6,67,6.0,0.0896
2025-06-09,sauna near me,9,176,1.5,0.0511
2025-06-09,northern sauna stockholm,11,194,2.0,0.0567
2025-06-09,northern sauna helsinki,9,149,2.5,0.0604
2025-06-09,northern sauna oslo,9,141,3.0,0.0638
2025-06-09,outdoor sauna booking,9,131,3.5,0.0687
2025-06-09,wood-fired sauna,8,108,4.0,0.0741
2025-06-09,sauna voucher,8,106,4.5,0.0755
2025-06-09,sauna gift card,9,103,5.0,0.0874
2025-06-09,sauna day pass,6,69,5.5,0.087
2025-06-09,popup sauna,6,65,6.0,0.0923
2025-06-10,sauna near me,9,184,1.5,0.0489
2025-06-10,northern sauna stockholm,10,189,2.0,0.0529
2025-06-10,northern sauna helsinki,10,170,2.5,0.0588
2025-06-10,northern sauna oslo,9,139,3.0,0.0647
2025-06-10,outdoor sauna booking,11,155,3.5,0.071
2025-06-10,wood-fired sauna,9,125,4.0,0.072
2025-06-10,sauna voucher,10,126,4.5,0.0794
2025-06-10,sauna gift card,9,109,5.0,0.0826
2025-06-10,sauna day pass,7,74,5.5,0.0946
2025-06-10,popup sauna,7,72,6.0,0.0972
2025-06-11,sauna near me,11,213,1.5,0.0516
2025-06-11,northern sauna stockholm,10,181,2.0,0.0552
2025-06-11,northern sauna helsinki,11,186,2.5,0.0591
2025-06-11,northern sauna oslo,10,151,3.0,0.0662
2025-06-11,outdoor sauna booking,10,140,3.5,0.0714
2025-06-11,wood-fired sauna,9,120,4.0,0.075
2025-06-11,sauna voucher,10,121,4.5,0.0826
2025-06-11,sauna gift card,9,107,5.0,0.0841
2025-06-11,sauna day pass,6,72,5.5,0.0833
2025-06-11,popup sauna,6,67,6.0,0.0896
2025-06-12,sauna near me,9,177,1.5,0.0508
2025-06-12,northern sauna stockholm,11,206,2.0,0.0534
2025-06-12,northern sauna helsinki,9,156,2.5,0.0577
2025-06-12,northern sauna oslo,9,133,3.0,0.0677
2025-06-12,outdoor sauna booking,11,150,3.5,0.0733
2025-06-12,wood-fired sauna,10,131,4.0,0.0763
2025-06-12,sauna voucher,9,107,4.5,0.0841
2025-06-12,sauna gift card,8,98,5.0,0.0816
2025-06-12,sauna day pass,8,87,5.5,0.092
2025-06-12,popup sauna,6,59,6.0,0.1017
2025-06-13,sauna near me,9,188,1.5,0.0479
2025-06-13,northern sauna stockholm,10,184,2.0,0.0543
2025-06-13,northern sauna helsinki,11,177,2.5,0.0621
2025-06-13,northern sauna oslo,10,160,3.0,0.0625
2025-06-13,outdoor sauna booking,10,140,3.5,0.0714
2025-06-13,wood-fired sauna,10,131,4.0,0.0763
2025-06-13,sauna voucher,8,94,4.5,0.0851
2025-06-13,sauna gift card,8,90,5.0,0.0889
2025-06-13,sauna day pass,7,82,5.5,0.0854
2025-06-13,popup sauna,6,61,6.0,0.0984
2025-06-14,sauna near me,11,226,1.5,0.0487
2025-06-14,northern sauna stockholm,12,211,2.0,0.0569
2025-06-14,northern sauna helsinki,10,163,2.5,0.0613
2025-06-14,northern sauna oslo,9,143,3.0,0.0629
2025-06-14,outdoor sauna booking,9,128,3.5,0.0703
2025-06-14,wood-fired sauna,9,123,4.0,0.0732
2025-06-14,sauna voucher,10,125,4.5,0.08
2025-06-14,sauna gift card,7,87,5.0,0.0805
2025-06-14,sauna day pass,7,76,5.5,0.0921
2025-06-14,popup sauna,6,66,6.0,0.0909
2025-06-15,sauna near me,10,204,1.5,0.049
2025-06-15,northern sauna stockholm,11,194,2.0,0.0567
2025-06-15,northern sauna helsinki,11,182,2.5,0.0604
2025-06-15,northern sauna oslo,11,169,3.0,0.0651
2025-06-15,outdoor sauna booking,10,140,3.5,0.0714
2025-06-15,wood-fired sauna,8,109,4.0,0.0734
2025-06-15,sauna voucher,9,116,4.5,0.0776
2025-06-15,sauna gift card,8,98,5.0,0.0816
2025-06-15,sauna day pass,7,73,5.5,0.0959
2025-06-15,popup sauna,7,72,6.0,0.0972
2025-06-16,sauna near me,11,214,1.5,0.0514
2025-06-16,northern sauna stockholm,10,181,2.0,0.0552
2025-06-16,northern sauna helsinki,12,194,2.5,0.0619
2025-06-16,northern sauna oslo,11,163,3.0,0.0675
2025-06-16,outdoor sauna booking,11,158,3.5,0.0696
2025-06-16,wood-fired sauna,10,134,4.0,0.0746
2025-06-16,sauna voucher,9,117,4.5,0.0769
2025-06-16,sauna gift card,7,87,5.0,0.0805
2025-06-16,sauna day pass,7,78,5.5,0.0897
2025-06-16,popup sauna,6,68,6.0,0.0882
2025-06-17,sauna near me,11,220,1.5,0.05
2025-06-17,northern sauna stockholm,11,208,2.0,0.0529
2025-06-17,northern sauna helsinki,9,149,2.5,0.0604
2025-06-17,northern sauna oslo,11,165,3.0,0.0667
2025-06-17,outdoor sauna booking,9,130,3.5,0.0692
2025-06-17,wood-fired sauna,10,133,4.0,0.0752
2025-06-17,sauna voucher,8,104,4.5,0.0769
2025-06-17,sauna gift card,8,97,5.0,0.0825
2025-06-17,sauna day pass,7,81,5.5,0.0864
2025-06-17,popup sauna,7,72,6.0,0.0972
2025-06-18,sauna near me,10,209,1.5,0.0478
2025-06-18,northern sauna stockholm,9,171,2.0,0.0526
2025-06-18,northern sauna helsinki,11,177,2.5,0.0621
2025-06-18,northern sauna oslo,11,162,3.0,0.0679
2025-06-18,outdoor sauna booking,9,134,3.5,0.0672
2025-06-18,wood-fired sauna,9,116,4.0,0.0776
2025-06-18,sauna voucher,10,124,4.5,0.0806
2025-06-18,sauna gift card,7,85,5.0,0.0824
2025-06-18,sauna day pass,6,71,5.5,0.0845
2025-06-18,popup sauna,6,67,6.0,0.0896
2025-06-19,sauna near me,9,189,1.5,0.0476
2025-06-19,northern sauna stockholm,10,185,2.0,0.0541
2025-06-19,northern sauna helsinki,9,158,2.5,0.057
2025-06-19,northern sauna oslo,10,149,3.0,0.0671
2025-06-19,outdoor sauna booking,10,136,3.5,0.0735
2025-06-19,wood-fired sauna,10,127,4.0,0.0787
2025-06-19,sauna voucher,8,96,4.5,0.0833
2025-06-19,sauna gift card,8,93,5.0,0.086
2025-06-19,sauna day pass,8,84,5.5,0.0952
2025-06-19,popup sauna,7,69,6.0,0.1014
2025-06-20,sauna near me,9,186,1.5,0.0484
2025-06-20,northern sauna stockholm,10,187,2.0,0.0535
2025-06-20,northern sauna helsinki,10,164,2.5,0.061
2025-06-20,northern sauna oslo,9,133,3.0,0.0677
2025-06-20,outdoor sauna booking,10,137,3.5,0.073
2025-06-20,wood-fired sauna,10,132,4.0,0.0758
2025-06-20,sauna voucher,10,125,4.5,0.08
2025-06-20,sauna gift card,7,84,5.0,0.0833
2025-06-20,sauna day pass,7,78,5.5,0.0897
2025-06-20,popup sauna,7,74,6.0,0.0946
2025-06-21,sauna near me,10,198,1.5,0.0505
2025-06-21,northern sauna stockholm,11,207,2.0,0.0531
2025-06-21,northern sauna helsinki,11,179,2.5,0.0615
2025-06-21,northern sauna oslo,11,172,3.0,0.064
2025-06-21,outdoor sauna booking,11,151,3.5,0.0728
2025-06-21,wood-fired sauna,8,109,4.0,0.0734
2025-06-21,sauna voucher,10,119,4.5,0.084
2025-06-21,sauna gift card,7,84,5.0,0.0833
2025-06-21,sauna day pass,8,86,5.5,0.093
2025-06-21,popup sauna,6,63,6.0,0.0952
2025-06-22,sauna near me,11,211,1.5,0.0521
2025-06-22,northern sauna stockholm,9,161,2.0,0.0559
2025-06-22,northern sauna helsinki,9,150,2.5,0.06
2025-06-22,northern sauna oslo,9,137,3.0,0.0657
2025-06-22,outdoor sauna booking,9,135,3.5,0.0667
2025-06-22,wood-fired sauna,8,113,4.0,0.0708
2025-06-22,sauna voucher,8,94,4.5,0.0851
2025-06-22,sauna gift card,9,106,5.0,0.0849
2025-06-22,sauna day pass,8,86,5.5,0.093
2025-06-22,popup sauna,6,66,6.0,0.0909
2025-06-23,sauna near me,11,213,1.5,0.0516
2025-06-23,northern sauna stockholm,10,174,2.0,0.0575
2025-06-23,northern sauna helsinki,11,180,2.5,0.0611
2025-06-23,northern sauna oslo,10,156,3.0,0.0641
2025-06-23,outdoor sauna booking,9,123,3.5,0.0732
2025-06-23,wood-fired sauna,10,131,4.0,0.0763
2025-06-23,sauna voucher,10,126,4.5,0.0794
2025-06-23,sauna gift card,7,88,5.0,0.0795
2025-06-23,sauna day pass,6,68,5.5,0.0882
2025-06-23,popup sauna,7,70,6.0,0.1
2025-06-24,sauna near me,9,187,1.5,0.0481
2025-06-24,northern sauna stockholm,10,180,2.0,0.0556
2025-06-24,northern sauna helsinki,9,145,2.5,0.0621
2025-06-24,northern sauna oslo,9,135,3.0,0.0667
2025-06-24,outdoor sauna booking,10,149,3.5,0.0671
2025-06-24,wood-fired sauna,11,142,4.0,0.0775
2025-06-24,sauna voucher,9,113,4.5,0.0796
2025-06-24,sauna gift card,9,105,5.0,0.0857
2025-06-24,sauna day pass,7,73,5.5,0.0959
2025-06-24,popup sauna,5,57,6.0,0.0877
2025-06-25,sauna near me,10,191,1.5,0.0524
2025-06-25,northern sauna stockholm,9,169,2.0,0.0533
2025-06-25,northern sauna helsinki,11,176,2.5,0.0625
2025-06-25,northern sauna oslo,11,176,3.0,0.0625
2025-06-25,outdoor sauna booking,9,129,3.5,0.0698
2025-06-25,wood-fired sauna,11,140,4.0,0.0786
2025-06-25,sauna voucher,9,111,4.5,0.0811
2025-06-25,sauna gift card,7,84,5.0,0.0833
2025-06-25,sauna day pass,7,81,5.5,0.0864
2025-06-25,popup sauna,6,64,6.0,0.0938
2025-06-26,sauna near me,11,215,1.5,0.0512
2025-06-26,northern sauna stockholm,11,199,2.0,0.0553
2025-06-26,northern sauna helsinki,11,177,2.5,0.0621
2025-06-26,northern sauna oslo,11,163,3.0,0.0675
2025-06-26,outdoor sauna booking,10,145,3.5,0.069
2025-06-26,wood-fired sauna,9,115,4.0,0.0783
2025-06-26,sauna voucher,10,124,4.5,0.0806
2025-06-26,sauna gift card,7,87,5.0,0.0805
2025-06-26,sauna day pass,7,82,5.5,0.0854
2025-06-26,popup sauna,7,70,6.0,0.1
2025-06-27,sauna near me,9,175,1.5,0.0514
2025-06-27,northern sauna stockholm,10,182,2.0,0.0549
2025-06-27,northern sauna helsinki,9,146,2.5,0.0616
2025-06-27,northern sauna oslo,9,142,3.0,0.0634
2025-06-27,outdoor sauna booking,10,146,3.5,0.0685
2025-06-27,wood-fired sauna,11,141,4.0,0.078
2025-06-27,sauna voucher,8,104,4.5,0.0769
2025-06-27,sauna gift card,9,105,5.0,0.0857
2025-06-27,sauna day pass,7,81,5.5,0.0864
2025-06-27,popup sauna,7,70,6.0,0.1
2025-06-28,sauna near me,11,219,1.5,0.0502
2025-06-28,northern sauna stockholm,11,193,2.0,0.057
2025-06-28,northern sauna helsinki,10,166,2.5,0.0602
2025-06-28,northern sauna oslo,10,159,3.0,0.0629
2025-06-28,outdoor sauna booking,10,148,3.5,0.0676
2025-06-28,wood-fired sauna,10,139,4.0,0.0719
2025-06-28,sauna voucher,9,112,4.5,0.0804
2025-06-28,sauna gift card,9,106,5.0,0.0849
2025-06-28,sauna day pass,7,77,5.5,0.0909
2025-06-28,popup sauna,7,70,6.0,0.1
2025-06-29,sauna near me,10,207,1.5,0.0483
2025-06-29,northern sauna stockholm,9,162,2.0,0.0556
2025-06-29,northern sauna helsinki,10,170,2.5,0.0588
2025-06-29,northern sauna oslo,11,167,3.0,0.0659
2025-06-29,outdoor sauna booking,10,147,3.5,0.068
2025-06-29,wood-fired sauna,10,127,4.0,0.0787
2025-06-29,sauna voucher,10,120,4.5,0.0833
2025-06-29,sauna gift card,9,106,5.0,0.0849
2025-06-29,sauna day pass,6,71,5.5,0.0845
2025-06-29,popup sauna,6,60,6.0,0.1
2025-06-30,sauna near me,11,229,1.5,0.048
2025-06-30,northern sauna stockholm,9,171,2.0,0.0526
2025-06-30,northern sauna helsinki,11,187,2.5,0.0588
2025-06-30,northern sauna oslo,10,156,3.0,0.0641
2025-06-30,outdoor sauna booking,9,135,3.5,0.0667
2025-06-30,wood-fired sauna,10,134,4.0,0.0746
2025-06-30,sauna voucher,9,118,4.5,0.0763
2025-06-30,sauna gift card,8,89,5.0,0.0899
2025-06-30,sauna day pass,6,68,5.5,0.0882
2025-06-30,popup sauna,7,70,6.0,0.1
2025-07-01,sauna near me,11,211,1.5,0.0521
2025-07-01,northern sauna stockholm,9,164,2.0,0.0549
2025-07-01,northern sauna helsinki,9,146,2.5,0.0616
2025-07-01,northern sauna oslo,11,162,3.0,0.0679
2025-07-01,outdoor sauna booking,10,144,3.5,0.0694
2025-07-01,wood-fired sauna,10,135,4.0,0.0741
2025-07-01,sauna voucher,10,122,4.5,0.082
2025-07-01,sauna gift card,8,100,5.0,0.08
2025-07-01,sauna day pass,7,83,5.5,0.0843
2025-07-01,popup sauna,6,65,6.0,0.0923
2025-07-02,sauna near me,10,204,1.5,0.049
2025-07-02,northern sauna stockholm,12,211,2.0,0.0569
2025-07-02,northern sauna helsinki,9,147,2.5,0.0612
2025-07-02,northern sauna oslo,10,157,3.0,0.0637
2025-07-02,outdoor sauna booking,9,129,3.5,0.0698
2025-07-02,wood-fired sauna,10,133,4.0,0.0752
2025-07-02,sauna voucher,9,118,4.5,0.0763
2025-07-02,sauna gift card,7,88,5.0,0.0795
2025-07-02,sauna day pass,8,86,5.5,0.093
2025-07-02,popup sauna,6,68,6.0,0.0882
2025-07-03,sauna near me,11,227,1.5,0.0485
2025-07-03,northern sauna stockholm,11,203,2.0,0.0542
2025-07-03,northern sauna helsinki,11,184,2.5,0.0598
2025-07-03,northern sauna oslo,9,138,3.0,0.0652
2025-07-03,outdoor sauna booking,11,160,3.5,0.0688
2025-07-03,wood-fired sauna,10,136,4.0,0.0735
2025-07-03,sauna voucher,10,121,4.5,0.0826
2025-07-03,sauna gift card,9,102,5.0,0.0882
2025-07-03,sauna day pass,8,89,5.5,0.0899
2025-07-03,popup sauna,6,67,6.0,0.0896
2025-07-04,sauna near me,9,171,1.5,0.0526
2025-07-04,northern sauna stockholm,10,183,2.0,0.0546
2025-07-04,northern sauna helsinki,9,157,2.5,0.0573
2025-07-04,northern sauna oslo,9,146,3.0,0.0616
2025-07-04,outdoor sauna booking,9,131,3.5,0.0687
2025-07-04,wood-fired sauna,10,130,4.0,0.0769
2025-07-04,sauna voucher,10,120,4.5,0.0833
2025-07-04,sauna gift card,9,106,5.0,0.0849
2025-07-04,sauna day pass,8,89,5.5,0.0899
2025-07-04,popup sauna,5,56,6.0,0.0893
2025-07-05,sauna near me,11,215,1.5,0.0512
2025-07-05,northern sauna stockholm,11,209,2.0,0.0526
2025-07-05,northern sauna helsinki,11,184,2.5,0.0598
2025-07-05,northern sauna oslo,9,137,3.0,0.0657
2025-07-05,outdoor sauna booking,11,159,3.5,0.0692
2025-07-05,wood-fired sauna,9,125,4.0,0.072
2025-07-05,sauna voucher,9,112,4.5,0.0804
2025-07-05,sauna gift card,8,89,5.0,0.0899
2025-07-05,sauna day pass,8,88,5.5,0.0909
2025-07-05,popup sauna,7,72,6.0,0.0972
2025-07-06,sauna near me,11,219,1.5,0.0502
2025-07-06,northern sauna stockholm,9,169,2.0,0.0533
2025-07-06,northern sauna helsinki,9,151,2.5,0.0596
2025-07-06,northern sauna oslo,12,177,3.0,0.0678
2025-07-06,outdoor sauna booking,11,156,3.5,0.0705
2025-07-06,wood-fired sauna,10,138,4.0,0.0725
2025-07-06,sauna voucher,10,119,4.5,0.084
2025-07-06,sauna gift card,7,84,5.0,0.0833
2025-07-06,sauna day pass,7,80,5.5,0.0875
2025-07-06,popup sauna,6,58,6.0,0.1034
2025-07-07,sauna near me,10,195,1.5,0.0513
2025-07-07,northern sauna stockholm,9,166,2.0,0.0542
2025-07-07,northern sauna helsinki,10,169,2.5,0.0592
2025-07-07,northern sauna oslo,11,163,3.0,0.0675
2025-07-07,outdoor sauna booking,11,154,3.5,0.0714
2025-07-07,wood-fired sauna,8,109,4.0,0.0734
2025-07-07,sauna voucher,10,123,4.5,0.0813
2025-07-07,sauna gift card,7,86,5.0,0.0814
2025-07-07,sauna day pass,8,91,5.5,0.0879
2025-07-07,popup sauna,6,65,6.0,0.0923
2025-07-08,sauna near me,9,173,1.5,0.052
2025-07-08,northern sauna stockholm,11,201,2.0,0.0547
2025-07-08,northern sauna helsinki,9,147,2.5,0.0612
2025-07-08,northern sauna oslo,10,161,3.0,0.0621
2025-07-08,outdoor sauna booking,11,152,3.5,0.0724
2025-07-08,wood-fired sauna,9,124,4.0,0.0726
2025-07-08,sauna voucher,9,116,4.5,0.0776
2025-07-08,sauna gift card,8,97,5.0,0.0825
2025-07-08,sauna day pass,6,70,5.5,0.0857
2025-07-08,popup sauna,7,69,6.0,0.1014
2025-07-09,sauna near me,11,227,1.5,0.0485
2025-07-09,northern sauna stockholm,10,176,2.0,0.0568
2025-07-09,northern sauna helsinki,9,151,2.5,0.0596
2025-07-09,northern sauna oslo,9,144,3.0,0.0625
2025-07-09,outdoor sauna booking,10,146,3.5,0.0685
2025-07-09,wood-fired sauna,11,143,4.0,0.0769
2025-07-09,sauna voucher,10,120,4.5,0.0833
2025-07-09,sauna gift card,9,103,5.0,0.0874
2025-07-09,sauna day pass,7,77,5.5,0.0909
2025-07-09,popup sauna,6,67,6.0,0.0896
2025-07-10,sauna near me,10,194,1.5,0.0515
2025-07-10,northern sauna stockholm,9,161,2.0,0.0559
2025-07-10,northern sauna helsinki,10,170,2.5,0.0588
2025-07-10,northern sauna oslo,10,157,3.0,0.0637
2025-07-10,outdoor sauna booking,11,155,3.5,0.071
2025-07-10,wood-fired sauna,10,135,4.0,0.0741
2025-07-10,sauna voucher,9,108,4.5,0.0833
2025-07-10,sauna gift card,8,95,5.0,0.0842
2025-07-10,sauna day pass,8,87,5.5,0.092
2025-07-10,popup sauna,6,61,6.0,0.0984
2025-07-11,sauna near me,10,192,1.5,0.0521
2025-07-11,northern sauna stockholm,11,207,2.0,0.0531
2025-07-11,northern sauna helsinki,11,183,2.5,0.0601
2025-07-11,northern sauna oslo,11,176,3.0,0.0625
2025-07-11,outdoor sauna booking,11,156,3.5,0.0705
2025-07-11,wood-fired sauna,10,135,4.0,0.0741
2025-07-11,sauna voucher,8,102,4.5,0.0784
2025-07-11,sauna gift card,8,96,5.0,0.0833
2025-07-11,sauna day pass,7,78,5.5,0.0897
2025-07-11,popup sauna,6,63,6.0,0.0952
2025-07-12,sauna near me,11,217,1.5,0.0507
2025-07-12,northern sauna stockholm,10,179,2.0,0.0559
2025-07-12,northern sauna helsinki,9,152,2.5,0.0592
2025-07-12,northern sauna oslo,10,148,3.0,0.0676
2025-07-12,outdoor sauna booking,11,153,3.5,0.0719
2025-07-12,wood-fired sauna,9,125,4.0,0.072
2025-07-12,sauna voucher,8,94,4.5,0.0851
2025-07-12,sauna gift card,8,99,5.0,0.0808
2025-07-12,sauna day pass,6,72,5.5,0.0833
2025-07-12,popup sauna,5,57,6.0,0.0877
2025-07-13,sauna near me,9,188,1.5,0.0479
2025-07-13,northern sauna stockholm,11,200,2.0,0.055
2025-07-13,northern sauna helsinki,9,147,2.5,0.0612
2025-07-13,northern sauna oslo,9,141,3.0,0.0638
2025-07-13,outdoor sauna booking,9,128,3.5,0.0703
2025-07-13,wood-fired sauna,10,137,4.0,0.073
2025-07-13,sauna voucher,8,102,4.5,0.0784
2025-07-13,sauna gift card,8,97,5.0,0.0825
2025-07-13,sauna day pass,6,71,5.5,0.0845
2025-07-13,popup sauna,7,71,6.0,0.0986
2025-07-14,sauna near me,9,186,1.5,0.0484
2025-07-14,northern sauna stockholm,10,183,2.0,0.0546
2025-07-14,northern sauna helsinki,10,161,2.5,0.0621
2025-07-14,northern sauna oslo,11,162,3.0,0.0679
2025-07-14,outdoor sauna booking,9,130,3.5,0.0692
2025-07-14,wood-fired sauna,8,106,4.0,0.0755
2025-07-14,sauna voucher,9,111,4.5,0.0811
2025-07-14,sauna gift card,9,109,5.0,0.0826
